id,ans
1,1
2,3
3,0
4,0
5,0
6,0
7,4
8,0
9,3
10,0
11,1
12,2
13,0
14,5
15,2
16,0
17,2
18,0
19,1
20,5
21,0
22,3
23,2
24,4
25,4
26,2
27,5
28,5
29,0
30,2
31,5
32,3
33,1
34,2
35,4
36,1
37,4
38,0
39,2
40,5
41,4
42,5
43,0
44,5
45,4
46,0
47,5
48,3
49,3
50,3
51,2
52,3
53,5
54,1
55,4
56,4
57,0
58,3
59,1
60,3
61,3
62,3
63,2
64,2
65,4
66,0
67,2
68,2
69,0
70,1
71,5
72,1
73,3
74,3
75,2
76,4
77,2
78,1
79,4
80,4
81,3
82,4
83,0
84,5
85,2
86,5
87,1
88,0
89,5
90,1
91,0
92,1
93,0
94,3
95,4
96,0
97,2
98,1
99,5
100,5
101,0
102,2
103,5
104,0
105,4
106,5
107,0
108,4
109,5
110,0
111,4
112,2
113,3
114,3
115,0
116,2
117,3
118,4
119,0
120,1
121,1
122,2
123,3
124,4
125,1
126,2
127,2
128,5
129,2
130,5
131,3
132,0
133,0
134,4
135,0
136,2
137,2
138,2
139,1
140,0
141,2
142,4
143,0
144,0
145,4
146,2
147,4
148,5
149,2
150,4
151,1
152,0
153,3
154,5
155,0
156,2
157,0
158,2
159,1
160,2
161,2
162,1
163,4
164,2
165,0
166,2
167,4
168,1
169,3
170,0
171,0
172,3
173,0
174,5
175,0
176,0
177,0
178,5
179,0
180,2
181,2
182,2
183,5
184,2
185,1
186,3
187,2
188,5
189,3
190,5
191,3
192,1
193,0
194,2
195,1
196,5
197,2
198,0
199,0
200,5
201,0
202,0
203,3
204,5
205,5
206,1
207,4
208,0
209,4
210,3
211,0
212,2
213,5
214,4
215,4
216,0
217,4
218,3
219,5
220,4
221,1
222,1
223,1
224,1
225,3
226,0
227,2
228,4
229,0
230,4
231,2
232,2
233,1
234,4
235,3
236,5
237,4
238,5
239,0
240,0
241,1
242,0
243,2
244,3
245,3
246,0
247,0
248,2
249,2
250,0
251,1
252,2
253,3
254,1
255,4
256,0
257,1
258,5
259,3
260,3
261,2
262,2
263,1
264,3
265,1
266,4
267,0
268,4
269,4
270,2
271,0
272,1
273,1
274,2
275,1
276,1
277,1
278,2
279,1
280,0
281,3
282,1
283,2
284,3
285,1
286,5
